uid,label,disaster_type,pre_image,post_image,xmin,ymin,xmax,ymax,area
3288f4b7-fe43-4e68-b8c2-61433c62a211,destroyed,fire,santa-rosa-wildfire_00000162_pre_disaster.png,santa-rosa-wildfire_00000162_post_disaster.png,756,244,815,283,2301
b67dbfea-09f9-4c40-8276-9fb6281aa9b8,destroyed,tsunami,palu-tsunami_00000112_pre_disaster.png,palu-tsunami_00000112_post_disaster.png,645,960,687,1011,2142
48ff0e3b-60df-4395-9118-685b7dac4a1c,destroyed,fire,santa-rosa-wildfire_00000190_pre_disaster.png,santa-rosa-wildfire_00000190_post_disaster.png,813,291,876,315,1512
2948acb5-e9ee-40bb-87af-fdea2b3c3694,destroyed,fire,santa-rosa-wildfire_00000063_pre_disaster.png,santa-rosa-wildfire_00000063_post_disaster.png,182,825,227,874,2205
a0ee2088-ddac-462d-812b-6b2061a627e2,destroyed,fire,santa-rosa-wildfire_00000079_pre_disaster.png,santa-rosa-wildfire_00000079_post_disaster.png,453,443,534,536,7533
f66d5c1a-d7f1-48d6-b73e-a3be5d13b6fa,destroyed,wind,hurricane-michael_00000338_pre_disaster.png,hurricane-michael_00000338_post_disaster.png,926,647,980,702,2970
cf837b17-1725-486c-a841-7cbbd8ecaf93,destroyed,fire,santa-rosa-wildfire_00000084_pre_disaster.png,santa-rosa-wildfire_00000084_post_disaster.png,596,527,640,569,1848
2901ac7e-9eba-4473-bd5e-a5c37a18f800,destroyed,tsunami,palu-tsunami_00000182_pre_disaster.png,palu-tsunami_00000182_post_disaster.png,1,423,41,468,1800
46aae1f5-a370-4740-a423-4020ec77fba8,destroyed,fire,socal-fire_00000265_pre_disaster.png,socal-fire_00000265_post_disaster.png,176,613,210,650,1258
d47d504d-8e13-4bfa-ae78-0217037ea345,destroyed,fire,santa-rosa-wildfire_00000044_pre_disaster.png,santa-rosa-wildfire_00000044_post_disaster.png,796,510,832,550,1440
fc0dfacc-42ab-4aba-b284-c9cf0a072ecc,destroyed,tsunami,palu-tsunami_00000088_pre_disaster.png,palu-tsunami_00000088_post_disaster.png,616,934,660,970,1584
29feea13-be50-44d7-b7fc-9795aca74fbb,destroyed,fire,santa-rosa-wildfire_00000049_pre_disaster.png,santa-rosa-wildfire_00000049_post_disaster.png,948,83,1005,144,3477
a5cd3c98-122e-4c9b-84ce-ed0bfa4d2af0,destroyed,wind,hurricane-michael_00000444_pre_disaster.png,hurricane-michael_00000444_post_disaster.png,609,442,672,473,1953
4d5427d0-ecd8-4efd-ad69-b95a2595a946,destroyed,flooding,hurricane-harvey_00000484_pre_disaster.png,hurricane-harvey_00000484_post_disaster.png,31,502,85,569,3618
00b7fa54-93be-41b5-8514-8975e50c67e1,destroyed,fire,socal-fire_00000501_pre_disaster.png,socal-fire_00000501_post_disaster.png,224,306,272,353,2256
ebfefb8b-9fd4-4bd3-ba23-c605664903e6,destroyed,fire,santa-rosa-wildfire_00000306_pre_disaster.png,santa-rosa-wildfire_00000306_post_disaster.png,289,141,338,192,2499
d619fedd-436d-4815-bed7-fa7839d89f2e,destroyed,fire,santa-rosa-wildfire_00000155_pre_disaster.png,santa-rosa-wildfire_00000155_post_disaster.png,527,396,557,437,1230
2a4b3e00-6d3c-4058-988d-3efba58ff85b,destroyed,fire,santa-rosa-wildfire_00000147_pre_disaster.png,santa-rosa-wildfire_00000147_post_disaster.png,13,540,64,592,2652
e771fc34-4e9b-4986-bf82-9ba6104e8fc1,destroyed,fire,santa-rosa-wildfire_00000046_pre_disaster.png,santa-rosa-wildfire_00000046_post_disaster.png,436,884,502,979,6270
ad4ba3dd-0323-4ebc-97ba-3cb8a936007a,destroyed,tsunami,palu-tsunami_00000125_pre_disaster.png,palu-tsunami_00000125_post_disaster.png,41,272,65,330,1392
cf96f751-c4e6-4e1a-87c5-f8f209e86637,destroyed,fire,santa-rosa-wildfire_00000075_pre_disaster.png,santa-rosa-wildfire_00000075_post_disaster.png,879,225,927,294,3312
a794f807-0d0a-4fe7-9bbf-06e2cb1118c9,destroyed,fire,socal-fire_00000427_pre_disaster.png,socal-fire_00000427_post_disaster.png,825,293,887,348,3410
